"object_id","esquema","nome","tipo","pasta","tabela_pai","create_date","modify_date","linhas","caracteres","escreve","verbos_escrita","alvos_escrita","chama_proc","qtd_refs","tabelas_ref","outras_ref"
"763305929","dbo","IV$PG_MARCA_TOTVS","VIEW","views","","2022-08-12 10:23:39","2022-08-12 10:23:39","1","475","False","","","False","2","IV_GLOBALPAR; IV_GLOBALPARCTRL",""
"2059974515","dbo","IV$PG_MARCAS","VIEW","views","","2017-05-10 17:29:50","2017-05-10 17:29:50","1","867","False","","","False","2","IV_GLOBALPAR; IV_GLOBALPARCTRL",""
"1915310033","dbo","IV$PG_MARCAS_E_FAMILIA","VIEW","views","","2023-01-24 10:37:00","2023-01-24 10:37:00","1","526","False","","","False","2","IV_GLOBALPAR; IV_GLOBALPARCTRL",""
"248544119","dbo","IV$PG_META_DEPTO","VIEW","views","","2025-05-12 12:27:43","2025-05-12 12:27:43","1","489","False","","","False","2","IV_GLOBALPAR; IV_GLOBALPARCTRL",""
"1017158769","dbo","IV$PG_ORIGEM_DA_RECEITA","VIEW","views","","2016-11-10 09:56:12","2016-11-10 09:56:12","1","476","False","","","False","2","IV_GLOBALPAR; IV_GLOBALPARCTRL",""
"1845073809","dbo","IV$PG_PLANTADEIRA","VIEW","views","","2025-07-17 12:09:50","2025-07-17 12:09:50","1","642","False","","","False","2","IV_GLOBALPAR; IV_GLOBALPARCTRL",""
"635305473","dbo","IV$PG_PLANTADEIRA_TOTVS","VIEW","views","","2022-08-12 08:42:39","2022-08-12 08:42:39","1","405","False","","","False","2","IV_GLOBALPAR; IV_GLOBALPARCTRL",""
"651969499","dbo","IV$PG_PLATAFORMA_ADICIONAL","VIEW","views","","2017-02-07 16:02:38","2017-02-07 16:02:38","1","614","False","","","False","2","IV_GLOBALPAR; IV_GLOBALPARCTRL",""
"2097494601","dbo","IV$PG_POLITICA_DE_COMISSAO","VIEW","views","","2016-05-31 11:36:25","2016-05-31 11:36:25","1","487","False","","","False","2","IV_GLOBALPAR; IV_GLOBALPARCTRL",""
"1161159282","dbo","IV$PG_PRODUTOSISDIA","VIEW","views","","2016-12-26 10:47:34","2016-12-26 10:47:34","1","400","False","","","False","2","IV_GLOBALPAR; IV_GLOBALPARCTRL",""
"1973074265","dbo","IV$PG_PULVERIZADOR","VIEW","views","","2025-07-21 10:05:01","2025-07-21 10:05:01","1","614","False","","","False","2","IV_GLOBALPAR; IV_GLOBALPARCTRL",""
