"tabela","existe","linhas","colunas","colunas_omitidas","arquivo"
"OUT_Contato","True","147","25","","catalogos-bpm/OUT_Contato.csv"
"OUT_Pessoa","True","1918","61","","catalogos-bpm/OUT_Pessoa.csv"
"OUT_PessoaLink","True","122","4","","catalogos-bpm/OUT_PessoaLink.csv"
"OUT_PessoaRelacao","True","9","7","","catalogos-bpm/OUT_PessoaRelacao.csv"
"DMN_DocTp","True","108","24","","catalogos-bpm/DMN_DocTp.csv"
"IV_DoctoTipo","True","3","5","","catalogos-bpm/IV_DoctoTipo.csv"
"IV_DoctoApl","True","6","15","","catalogos-bpm/IV_DoctoApl.csv"
"IV_DoctoAplUso","True","3","10","","catalogos-bpm/IV_DoctoAplUso.csv"
"IVT_DePara","True","12","8","","catalogos-bpm/IVT_DePara.csv"
"GE_IMPORTA_CART","True","22","52","","catalogos-bpm/GE_IMPORTA_CART.csv"
