"fk_id","fk_nome","parent_object_id","tabela_origem","tabela_ref","acao_exclusao","acao_atualizacao","is_disabled","is_not_trusted"
"101731565","FK__IV_Q_AVAL__SEQQU__06104CED","69731451","IV_Q_AVALIACAO_AMS_USADO","IV_Questionario","CASCADE","NO_ACTION","False","False"
"106587568","FK__EXT_NFSIt__IdPro__065A65B0","527445053","EXT_NFSItem","EXT_Produto","NO_ACTION","NO_ACTION","False","False"
"480108851","FK__DMN_DocVr__SeqDo__1C9DE133","725577623","DMN_DocVrs","DMN_Doc","CASCADE","NO_ACTION","False","False"
"483584861","FK__IV_ResCla__Resul__1CD2EB5D","475148738","IV_ResClasse","IV_Resultado","NO_ACTION","NO_ACTION","False","False"
"490640991","FK__IV_Q_LICE__SEQQU__1D3E965F","458640877","IV_Q_LICENCAS_PUK","IV_Questionario","CASCADE","NO_ACTION","False","False"
"491916874","FK__IV_Q_VEND__SEQQU__1D520E4A","459916760","IV_Q_VENDA_PERDIDA_IMPL","IV_Questionario","CASCADE","NO_ACTION","False","False"
"494780970","FK__IV_Q_GEST__SEQQU__1D7DC22A","462780856","IV_Q_GESTAO_PRODUTO___AMS","IV_Questionario","CASCADE","NO_ACTION","False","False"
"496876987","FK__IV_Q_ADM___SEQQU__1D9DBDBB","464876873","IV_Q_ADM_FINANCEIRO","IV_Questionario","CASCADE","NO_ACTION","False","False"
"498868894","FK__IV_Q_APRE__SEQQU__1DBC229E","466868780","IV_Q_APRESENT_EQUIPAMENTO","IV_Questionario","CASCADE","NO_ACTION","False","False"
"498973004","FK__IV_Q_VISI__SEQQU__1DBDB94C","466972890","IV_Q_VISITA_DSI","IV_Questionario","CASCADE","NO_ACTION","False","False"
"499584918","FK__IV_ResCla__SeqCl__1DC70F96","475148738","IV_ResClasse","IV_ClasseRes","CASCADE","NO_ACTION","False","False"
"499636973","FK__IV_URADIS__SEQAG__1DC7DAED","403636631","IV_URADISPARO","IV_Agenda","NO_ACTION","NO_ACTION","False","False"
"505925024","FK__IV_Q_CHAS__SEQQU__1E27CDA0","473924910","IV_Q_CHASSI_ENTREGA_FISIC","IV_Questionario","CASCADE","NO_ACTION","False","False"
"506588993","FK__EXT_VeicA__SeqPe__1E31EF41","943446535","EXT_VeicAgd","GE_Pessoa","NO_ACTION","NO_ACTION","False","False"
"508632955","FK__IV_CodPrc__NroEm__1E511F7B","366624349","IV_CodPrcEmpr","GE_Empresa","CASCADE","NO_ACTION","False","False"
"896110333","FK__GE_FCadRP__SeqFC__35698EFD","1493580359","GE_FCadRPes","GE_FCadF","NO_ACTION","NO_ACTION","False","False"
"898870319","FK__IV_Q_PREV__SEQQU__3593AC2F","866870205","IV_Q_PREVISAO_RECEBIMENTO","IV_Questionario","CASCADE","NO_ACTION","False","False"
"899586343","FK__IVF_Plano__Prazo__359E9927","1243151474","IVF_Plano","IVF_Prazo","NO_ACTION","NO_ACTION","False","False"
"903062353","FK__GEL_ConvD__SeqCo__35D3A351","1186103266","GEL_ConvDe","GEL_Conv","CASCADE","NO_ACTION","False","False"
"906590418","FK__EXT_EMAIL__SEQPE__360978D2","110063578","EXT_EMAIL","GE_Pessoa","NO_ACTION","NO_ACTION","False","False"
"912110390","FK__GE_Help__SeqApli__365DB336","1557580587","GE_Help","GE_Aplicacao","NO_ACTION","NO_ACTION","False","False"
