"SeqCampanha","Campanha","Descricao","Detalhe","Grupo","DtaInicio","DtaFim","EmUso","UsuInclusao","DtaInclusao","UsuAlteracao","DtaAlteracao","ProvedorSmsPL","Resultado","PrioridadeMail2Easy","DetHistorico","PRIORIDADEALLIN","PRIORIDADEEMAIL","PRIORIDADESMS","PRIORIDADECORREIO","SEQTXTPADRAO","INDINTERATIVO","CODCAMPANHA","SEQCONTEUDO","SEQFORMULARIO","SEQEMAILTEMPLATE","PROVEDOREMAILPL","EMAILHORAINI","EMAILHORAFIM","SMSHORAINI","SMSHORAFIM","QTDMSG","IDULTUPLOAD"
"161","RENOV_VENCORR","Clientes com renovação de seguro Vencorr","Clientes com renovação de seguro Vencorr","VENDAS","22/06/2022 00:00:00","31/12/2022 00:00:00","0","VANESSA.ALVES","22/06/2022 00:00:00","VANESSA.ALVES","22/06/2022 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"162","KIT SEEDZ","KIT SEEDZ","KIT SEEDZ","VENDAS","24/10/2022 00:00:00","31/12/2022 00:00:00","0","VANESSA.ALVES","24/10/2022 00:00:00","VANESSA.ALVES","24/10/2022 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"163","CARTEIRA_ATIVA","CARTEIRA_ATIVA","CARTEIRA_ATIVA","VENDAS","16/11/2022 00:00:00","16/12/2030 00:00:00","0","VANESSA.ALVES","16/11/2022 00:00:00","VANESSA.ALVES","16/11/2022 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"164","CONSORCIO QUITADO","Consorcio Quitado","Lista de consorcio a quita nos proximos 6 meses","VENDAS","03/02/2023 00:00:00","03/12/2023 00:00:00","0","VANESSA.ALVES","03/02/2023 00:00:00","VANESSA.ALVES","03/02/2023 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"166","AFERICAO OXBO","AFERICAO OXBO","AFERICAO OXBO","VENDAS","14/02/2023 00:00:00","28/02/2024 00:00:00","0","VANESSA.ALVES","14/02/2023 00:00:00","VANESSA.ALVES","14/02/2023 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"167","CAMP_PV_2023","CAMP_PV_2023","Pulverizadores faturados entre 10/03 e 10/

Gerente e CEN que mais venderem ganharão a viagem também. Em caso de empate na quantidade o critério será valor, persistindo empate, será o Lucro Bruto.
","","06/03/2023 00:00:00","30/06/2023 00:00:00","0","VANESSA.ALVES","06/03/2023 00:00:00","VANESSA.ALVES","06/03/2023 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"168","EEMOVEL","EEMOVEL","Plataforma EEmovel. Lista de cliente na plataforma que estão no CRM porém não estão recebendo monitoramento do CEN.","VENDAS","07/03/2023 00:00:00","31/12/2024 00:00:00","0","VANESSA.ALVES","07/03/2023 00:00:00","VANESSA.ALVES","07/03/2023 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"169","NOVO CRM_EEMOVEL","NOVO CRM_EEMOVEL","Plataforma EEmovel. Lista de cliente na plataforma que não estão na base CRM","VENDAS","17/03/2023 00:00:00","31/12/2023 00:00:00","0","VANESSA.ALVES","17/03/2023 00:00:00","VANESSA.ALVES","17/03/2023 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"170","DAP_CARLOS","DAP_Carlos","Lista DAP Carlos Assumpção","VENDAS","04/04/2023 00:00:00","30/05/2023 00:00:00","0","VANESSA.ALVES","04/04/2023 00:00:00","VANESSA.ALVES","04/04/2023 00:00:00","","","","","","","","","","","","","","","","","","","","",""
"171","AGRISHOW2023","AGRISHOW2023","AGRISHOW2023","VENDAS","08/05/2023 00:00:00","31/12/2023 00:00:00","0","VANESSA.ALVES","08/05/2023 00:00:00","VANESSA.ALVES","08/05/2023 00:00:00","","","","","","","","","","","","","","","","","","","","",""
