"SeqAcaoAuto","Pcte","NroEmpresa","Resultado","ResultadoCmpl","Acao","SeqUsuario","AssuntoCmpl","Operacao","UsaObjDyn","Exigida","GerarPara","FormaGeracao","QtdeDias","QtdeHU","Departamento","AtivoReceptivo","FormaPrimCont","Prioridade","SemConfirmacao","TipoAgendamento","Mesmoprocesso","SeqOrder","CHKSUM","QuebraDNA","EXIGESCOLHAATDGRPO","INDGERAPARAPESPRC","EMUSO","PROPAGAFORMTRAB","SOLICDATAAGD","HORAAGENDA"
"8702","","5","3435","","772","1159","Alterado Forma de Pagamento","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","1","0","",""
"8703","","15","3435","","772","1257","Alterado Forma de Pagamento","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","1","0","",""
"8704","","10","3435","","772","1160","Alterado Forma de Pagamento","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","1","0","",""
"8705","","18","3435","","772","1260","Alterado Forma de Pagamento","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","1","0","",""
"8706","","7","3435","","772","1122","Alterado Forma de Pagamento","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","1","0","",""
"8707","","1","3435","","772","1121","Alterado Forma de Pagamento","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","1","0","",""
"8708","","13","3435","","772","1255","Alterado Forma de Pagamento","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","1","0","",""
"8709","","17","3435","","772","1259","Alterado Forma de Pagamento","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","1","0","",""
"8710","","16","3435","","772","1258","Alterado Forma de Pagamento","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","1","0","",""
"8711","","","3436","","767","-15","Desistiu da Compra","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","0","0","0",""
"8712","","","3437","","767","-15","Venda Perdida","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","0","0","0",""
"8713","","2","3439","","807","1126","Com Pendência","","0","S","","","0","0,00","","A","","2","S","A","S","100","","0","0","0","1","0","",""
