"SeqResMsgPapel","Resultado","AtitudeUsr","NroEmpresa","ResultadoCmpl","Grupo","Ordem","TipoDest","Papel","Canal","SeqTxtPadrao","Template","Remetente","DtaInclusao","UsuInclusao","DtaAlteracao","UsuAlteracao","PesFormulario","PesResultado","QTDEDIAS","QTDEHU","SEQCONTAENVIO","TIPOPREFENVIO","INDENVIAQLQERHORA","EMUSO","PRIORIDADE","DESCRICAOMENSAGEM","OBJETIVOMSG"
"1302","484"," ","","Com Contrato","","","USR","-3","EML","133","","","05/03/2021 10:27:06","DIEGO.MARQUES","01/08/2024 09:19:09","MATHEUS.AUGUSTO","","","","0,00","","","","0","5","",""
"1309","1942"," ","1","","","","USR","1157","EML","138","","","21/03/2021 20:20:00","DIEGO.MARQUES","13/06/2024 15:45:00","NETO.PRADO","","","0","0,00","","","0","1","5","Envio EML para coord srvs rib preto",""
"1310","1942"," ","7","","","","USR","593","EML","138","","","21/03/2021 20:19:40","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"1311","1942"," ","10","","","","USR","421","EML","138","","","21/03/2021 20:19:17","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"1312","1942"," ","4","","","","USR","593","EML","138","","","21/03/2021 20:18:54","DIEGO.MARQUES","21/08/2023 13:28:00","LIVIA.SILVA","","","0","0,00","","","","1","5","",""
"1313","1942"," ","11","","","","USR","827","EML","138","","","21/03/2021 20:18:28","DIEGO.MARQUES","10/05/2023 10:15:14","LIVIA.SILVA","","","0","0,00","","","","1","5","",""
"1314","1942"," ","3","","","","USR","593","EML","138","","","21/03/2021 20:18:04","DIEGO.MARQUES","06/01/2022 22:47:30","DIEGO.MARQUES","","","0","0,00","","","","1","5","",""
"1315","1942"," ","2","","","","USR","421","EML","138","","","21/03/2021 20:17:41","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"1316","1942"," ","","","","","USR","354","EML","138","","","21/03/2021 20:17:15","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"1317","1942"," ","","","","","USR","516","EML","138","","","21/03/2021 20:16:41","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"1319","1985"," ","","","","","PAPEL","Comprador de Máquina","EML","95","","","14/04/2021 22:22:11","DIEGO.MARQUES","14/04/2021 22:25:57","DIEGO.MARQUES","","","0","0,00","290","","","1","5","",""
"1320","1335"," ","","","","","USR","520","EML","145","","","19/04/2021 13:23:10","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"1322","1776"," ","","","","","USR","516","EML","138","","","19/05/2021 09:48:31","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"1326","1964"," ","","","","","USR","516","EML","136","","","19/05/2021 10:10:08","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"1443","2143"," ","2","","","","USR","747","EML","74","","","15/04/2022 22:01:38","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"1444","2143"," ","","","","","USR","516","EML","74","","","15/04/2022 22:01:37","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"1445","2176"," ","","","","","USR","255","EML","74","","","15/04/2022 22:23:14","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"1446","2176"," ","","","","","USR","516","EML","74","","","15/04/2022 22:21:32","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"1447","2176"," ","2","","","","USR","747","EML","74","","","15/04/2022 22:21:32","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"1451","2176"," ","1","","","","USR","127","EML","74","","","15/04/2022 22:21:32","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"1461","2145"," ","","","","","USR","748","EML","68","","","15/04/2022 22:52:30","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"1462","2145"," ","","","","","USR","255","EML","68","","","15/04/2022 22:45:58","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"1463","2145"," ","","","","","USR","516","EML","68","","","15/04/2022 22:45:58","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"1466","2145"," ","","","","","USR","-3","EML","68","","","15/04/2022 22:45:58","DIEGO.MARQUES","01/08/2024 09:17:44","MATHEUS.AUGUSTO","","","0","0,00","","","","0","5","",""
"1467","2145"," ","","","","","USR","577","EML","68","","","15/04/2022 22:45:58","DIEGO.MARQUES","","","","","0","0,00","","","","1","5","",""
"1469","2145"," ","3","","","","USR","652","EML","68","","","15/04/2022 22:45:57","DIEGO.MARQUES","19/12/2022 16:32:05","DIEGO.MARQUES","","","0","0,00","","","","1","5","",""
"1470","2145"," ","7","","","","USR","594","EML","68","","","15/04/2022 22:45:57","DIEGO.MARQUES","17/07/2023 11:38:00","LIVIA.SILVA","","","0","0,00","","","","1","5","",""
"468","731"," ","","","1","1","USR","467","EML","69","","","24/03/2017 16:44:25","VANESSA.ALVES","11/12/2017 17:29:55","VANESSA.ALVES","","","","","","","","1","5","",""
