"SeqPar","SeqGlbPar","NroEmpresa","Campo1","Campo2","Campo3","Campo4","Campo5","Campo6","Numero1","Numero2","Numero3","Numero4","Numero5","Numero6","Data1","Data2","Data3","Data4","Data5","Data6","Literal1","Literal2","Literal3","Literal4","Literal5","Literal6","Literal7","Literal8","Literal9","Literal10","DtaAlteracao","UsuAlteracao","SimNao1","SimNao2","SimNao3","SimNao4","SimNao5","SimNao6","SimNao7","SimNao8","SimNao9","SimNao10"
"10542","9401","0","Massey","","","","","","","","","","","","","","","","","","MF 4708","","","","","","","","","","15/10/2018 15:07:00","DIEGO.MARQUES","1","","","","","","","","",""
"10543","9401","0","Massey","","","","","","","","","","","","","","","","","","MF 4709","","","","","","","","","","15/10/2018 15:07:00","DIEGO.MARQUES","1","","","","","","","","",""
"10544","9401","0","Massey","","","","","","","","","","","","","","","","","","MF 4292 Xtra","","","","","","","","","","15/10/2018 15:08:00","DIEGO.MARQUES","1","","","","","","","","",""
"10545","9401","0","Massey","","","","","","","","","","","","","","","","","","MF 4265 Compacto","","","","","","","","","","15/10/2018 15:09:00","DIEGO.MARQUES","1","","","","","","","","",""
"10546","9401","0","Valtra","","","","","","","","","","","","","","","","","","Série A Fruteiro A750F","","","","","","","","","","26/05/2019 11:45:00","DIEGO.MARQUES","1","","","","","","","","",""
"10547","9401","0","Valtra","","","","","","","","","","","","","","","","","","TR A750E","","","","","","","","","","15/10/2018 15:12:00","DIEGO.MARQUES","1","","","","","","","","",""
"10548","9400","1","","","","","","","","","","","","","","","","","","","Grazmec","","","","","","","","","","16/10/2018 17:04:00","DIEGO.MARQUES","0","0","0","0","0","0","0","0","1","0"
"10569","9400","0","","","","","","","","","","","","","","","","","","","Rugeri","","","","","","","","","","27/11/2018 16:17:00","DIEGO.MARQUES","0","0","0","0","0","0","0","0","1","0"
"10573","9411","0","John Deere","","","","","","","","","","","","","","","","","","PV N4025","","","","","","","","","","10/05/2024 08:25:00","MATHEUS.AUGUSTO","0","","","","","","","","",""
"10574","9400","1","","","","","","","","","","","","","","","","","","","NB Maquinas","","","","","","","","","","17/12/2018 07:27:00","DIEGO.MARQUES","0","0","0","0","0","0","0","0","1","0"
"10577","9401","0","John Deere","","","","","","","","","","","","","","","","","","TR6100E","","","","","","","","","","10/09/2025 08:15:00","MATHEUS.AUGUSTO","0","","","","","","","","",""
"10578","9401","0","John Deere","","","","","","","","","","","","","","","","","","TR5060E","","","","","","","","","","26/12/2018 10:26:00","DIEGO.MARQUES","1","","","","","","","","",""
"10579","9401","0","John Deere","","","","","","","","","","","","","","","","","","TR5060EN","","","","","","","","","","17/05/2020 16:15:00","DIEGO.MARQUES","1","1","","","","","","","",""
