"Origem","Tabela","ChaveN1","ChaveN2","ChaveStr","ChaveLocalN1","ChaveLocalN2","ChaveLocalStr","DtaAlteracao","IndMudanca"
"IMPORTAÇÃO","IV_ACAOAUTO","2070","0","x","6010","0","x","22/11/2024 14:10:08","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2071","0","x","6011","0","x","22/11/2024 14:10:08","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2072","0","x","6012","0","x","22/11/2024 14:10:08","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2073","0","x","6013","0","x","22/11/2024 14:10:08","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2074","0","x","6014","0","x","22/11/2024 14:10:08","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2075","0","x","6015","0","x","22/11/2024 14:10:08","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2076","0","x","6016","0","x","22/11/2024 14:10:08","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2077","0","x","6017","0","x","22/11/2024 14:10:08","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2078","0","x","6018","0","x","22/11/2024 14:10:08","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2079","0","x","6019","0","x","22/11/2024 14:10:08","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2080","0","x","6020","0","x","22/11/2024 14:10:08","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2081","0","x","6021","0","x","22/11/2024 14:10:08","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2082","0","x","6022","0","x","22/11/2024 14:10:08","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2083","0","x","6023","0","x","22/11/2024 14:10:08","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2084","0","x","6024","0","x","22/11/2024 14:10:08","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2085","0","x","6025","0","x","22/11/2024 14:10:08","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2086","0","x","6026","0","x","22/11/2024 14:10:08","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2087","0","x","6027","0","x","22/11/2024 14:10:09","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2088","0","x","6028","0","x","22/11/2024 14:10:09","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2089","0","x","6029","0","x","22/11/2024 14:10:09","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2090","0","x","6030","0","x","22/11/2024 14:10:09","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2091","0","x","6031","0","x","22/11/2024 14:10:09","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2092","0","x","6032","0","x","22/11/2024 14:10:09","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2093","0","x","6033","0","x","22/11/2024 14:10:09","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2094","0","x","6034","0","x","22/11/2024 14:10:09","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2095","0","x","6035","0","x","22/11/2024 14:10:09","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2096","0","x","6036","0","x","22/11/2024 14:10:09","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2097","0","x","6037","0","x","22/11/2024 14:10:09","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2098","0","x","6038","0","x","22/11/2024 14:10:09","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2099","0","x","6039","0","x","22/11/2024 14:10:09","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2100","0","x","6040","0","x","22/11/2024 14:10:09","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2101","0","x","6041","0","x","22/11/2024 14:10:09","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2102","0","x","6042","0","x","22/11/2024 14:10:09","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2103","0","x","6043","0","x","22/11/2024 14:10:09","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2104","0","x","6044","0","x","22/11/2024 14:10:09","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2105","0","x","6045","0","x","22/11/2024 14:10:09","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2106","0","x","6046","0","x","22/11/2024 14:10:09","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2107","0","x","6047","0","x","22/11/2024 14:10:09","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2108","0","x","6048","0","x","22/11/2024 14:10:09","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2109","0","x","6049","0","x","22/11/2024 14:10:09","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2110","0","x","6050","0","x","22/11/2024 14:10:09","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2111","0","x","6051","0","x","22/11/2024 14:10:09","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2112","0","x","6052","0","x","22/11/2024 14:10:09","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2113","0","x","6053","0","x","22/11/2024 14:10:09","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2114","0","x","6054","0","x","22/11/2024 14:10:09","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2115","0","x","6055","0","x","22/11/2024 14:10:10","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2116","0","x","6056","0","x","22/11/2024 14:10:10","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2117","0","x","6057","0","x","22/11/2024 14:10:10","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2118","0","x","6058","0","x","22/11/2024 14:10:10","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2119","0","x","6059","0","x","22/11/2024 14:10:10","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2120","0","x","6060","0","x","22/11/2024 14:10:10","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2121","0","x","6061","0","x","22/11/2024 14:10:10","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2122","0","x","6062","0","x","22/11/2024 14:10:10","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2123","0","x","6063","0","x","22/11/2024 14:10:10","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2124","0","x","6064","0","x","22/11/2024 14:10:10","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2125","0","x","6065","0","x","22/11/2024 14:10:10","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2126","0","x","6066","0","x","22/11/2024 14:10:10","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2127","0","x","6067","0","x","22/11/2024 14:10:10","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2128","0","x","6068","0","x","22/11/2024 14:10:10","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2129","0","x","6069","0","x","22/11/2024 14:10:10","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2130","0","x","6070","0","x","22/11/2024 14:10:10","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2131","0","x","6071","0","x","22/11/2024 14:10:10","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2132","0","x","6072","0","x","22/11/2024 14:10:10","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2133","0","x","6073","0","x","22/11/2024 14:10:10","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2134","0","x","6074","0","x","22/11/2024 14:10:10","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2135","0","x","6075","0","x","22/11/2024 14:10:10","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2141","0","x","6076","0","x","22/11/2024 14:10:10","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2142","0","x","6077","0","x","22/11/2024 14:10:10","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2143","0","x","6078","0","x","22/11/2024 14:10:10","1"
"IMPORTAÇÃO","IV_ACAOAUTO","2144","0","x","6079","0","x","22/11/2024 14:10:10","1"
