"SeqCbrCritDef","SeqCbrCriterio","Origem","NroEmpresa","Departamento","Especie","TipoCobranca","IndCobrJuridica","LocalCobranca","VlrAberto","DiasAbertoDe","DiasAbertoAte","AtividadePessoa","FisicaJuridica","diasvencidode","diasvencidoate"
"202","121","** Todas **","9999","** Todos **","GARANTIA/REVISAO","** Todos **","0","** Todos **","1,00","","","","","0","0"
"203","121","** Todas **","9999","** Todos **","INSS RETIDO","** Todos **","0","** Todos **","1,00","","","","","0","0"
"204","121","** Todas **","9999","** Todos **","IRRF","** Todos **","0","** Todos **","1,00","","","","","0","0"
"205","121","** Todas **","9999","** Todos **","MAESTRO","** Todos **","0","** Todos **","1,00","","","","","0","0"
"206","121","** Todas **","9999","** Todos **","MASTERCARD","** Todos **","0","** Todos **","1,00","","","","","0","0"
"207","121","** Todas **","9999","** Todos **","PIS RETIDO","** Todos **","0","** Todos **","1,00","","","","","0","0"
"208","121","** Todas **","9999","** Todos **","RECEBIMENT DIVERSOS","** Todos **","0","** Todos **","1,00","","","","","0","0"
"209","121","** Todas **","9999","** Todos **","TIT.ANTERIOR SISTEMA","** Todos **","0","** Todos **","1,00","","","","","0","0"
"210","121","** Todas **","9999","** Todos **","VISA ELECTRON","** Todos **","0","** Todos **","1,00","","","","","0","0"
"211","121","** Todas **","9999","** Todos **","VL FUNCIONARIO","** Todos **","0","** Todos **","1,00","","","","","0","0"
"212","1","Protheus","1","** Todos **","BOL","** Todos **","0","** Todos **","1,00","","","","","3","45"
"213","61","Protheus","1","** Todos **","BOL","** Todos **","0","** Todos **","1,00","","","","","46","9999"
"214","8","Protheus","10","** Todos **","BOL","** Todos **","0","** Todos **","1,00","","","","","3","45"
"215","66","Protheus","10","** Todos **","BOL","** Todos **","0","** Todos **","1,00","","","","","46","9999"
"216","9","Protheus","11","** Todos **","BOL","** Todos **","0","** Todos **","1,00","","","","","3","45"
"217","123","Protheus","1","** Todos **","CH","** Todos **","0","** Todos **","1,00","","","","","3","45"
"218","123","Protheus","1","** Todos **","CQ","** Todos **","0","** Todos **","1,00","","","","","3","45"
"219","124","Protheus","1","** Todos **","CH","** Todos **","0","** Todos **","1,00","","","","","46","9999"
"220","124","Protheus","1","** Todos **","CQ","** Todos **","0","** Todos **","1,00","","","","","46","9999"
"221","2","Protheus","2","** Todos **","BOL","** Todos **","0","** Todos **","1,00","","","","","3","45"
