"SeqPropriedade","Propriedade","Pcte","Nivel","NivelIdentificador","CampoListar","MostraRef","Usacomplemento","TipoRefVinculado","UmPorPessoa","ReferenciaSQL","Campo1","Campo1Sql","Campo2","Campo2Sql","Campo3","Campo3Sql","Campo4","Campo4Sql","Campo5","Campo5Sql","Campo6","Campo6Sql","Numero1","Numero2","Numero3","Numero4","Numero5","Numero6","Data1","Data2","Data3","Data4","Data5","Data6","SimNao1","SimNao2","SimNao3","SimNao4","SimNao5","SimNao6","Literal1","Literal2","Literal3","Literal4","Literal5","Literal6","Literal7","Literal8","Literal9","Literal10","DtaInclusao","UsuInclusao","DtaAlteracao","UsuAlteracao","ReferenciaDesc","Literal1Sql","Literal2Sql","Literal3Sql","Literal4Sql","Literal5Sql","Literal6Sql","Literal7Sql","Literal8Sql","Literal9Sql","Literal10Sql","CAMPO7","CAMPO8","CAMPO7SQL","CAMPO8SQL"
"9511","NO-Colhedora de Can+","","","3","CAMPO2","S","N","","0","1","","0","Modelo","1","","0","","0","","0","Ano","1","Quantidade*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30/11/2011 00:00:00","VTCCONS","Marca*","","","","","","","","","","","","","",""
"9512","NO-Área Total+","","","3","","N","N","","0","0","","0","","0","","0","","0","","0","","0","Área Irrig.Gotejo (h","Área Pecuária (ha)","Área Grãos (ha)","Área Algodão (ha)","Área Cana (ha)","Área Irrgi.Aspers (h","","","","","","","","","","","","","","","","","Qtde Arrendada (ha)","","","","Qtde Própria (ha)","","","","25/07/2012 00:00:00","VTCCONS","Arendada/Própria","","","","","","","","","","","","","",""
"9514","NO-Consorcio+","","","3","","S","N","","0","1","","0","Modelo","1","","0","","0","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18/11/2016 00:00:00","VTCCONS","Marca*","0","0","0","0","0","0","0","0","0","0","","","0","0"
"9603","NO-TRATOR MANUAL/FRO","","","8","CAMPO1","S","N","","0","0","","0","Combustivel","0","Novo_Usado","0","Forma de compra","0","","0","","0","Modelo","Ano Modelo","Ano Fabricação","","","","","","","","","","","","","","","","","","","","","","","","","","21/06/2006 00:00:00","VACTSUPER","","","Referência","0","0","0","0","0","0","0","0","0","0","","","",""
"9604","NO-TRATOR(SISDIA)","","","8","CAMPO1","S","N","","0","0","Tipo","0","Combustivel","0","Novo_Usado","0","Forma de compra","0","","0","","0","Ano Modelo","Ano Fabricação","Valor compra","","","","Data Venda","","","","","","","","","","","","Revenda","Vendedor","","","Cor","Frota","","","","","21/06/2006 00:00:00","VACTSUPER","","","Referência","0","0","0","0","0","0","0","0","0","0","","","",""
"9605","NO-IMPLEMENTOS","","","8","","S","N","","0","0","Agente","0","Linha","0","Evento","0","Status","0","","0","","0","Valor","Cond. Pagto","","","","","","","","","","","","","","","","","Modelo","Marca","Série","","","","","","","","28/07/2006 00:00:00","VACTSUPER","","","Referência","0","0","0","0","0","0","0","0","0","0","","","",""
"9606","NO-CONSORCIO","","","8","","S","N","","0","0","Meses:","0","Contemplado:","0","","0","","0","","0","","0","Valor do Crédito:","","","","","","Inicio:","","","","","","","","","","","","","Grupo:","Cota:","","","","","","Obs:","","","","","","Referência","0","0","0","0","0","0","0","0","0","0","","","",""
"9610","NO-TIPO CULTURA","","","8","IDENTIFICADOR","S","N","","0","0","Peso Cultura","0","","0","","0","","0","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","04/04/2008 00:00:00","VTCSUPER","","","Referência","0","0","0","0","0","0","0","0","0","0","","","",""
"9611","NO-AREA PLANTADA","","","8","IDENTIFICADOR","S","N","","0","0","Tipo Cultura","0","","0","","0","","0","","0","","0","Hectares","","","","","","","","","","","","","","","","","","Cidade","","","","","","","","","","04/04/2008 00:00:00","VTCSUPER","","","Referência","0","0","0","0","0","0","0","0","0","0","","","",""
"9612","NO-FROTA","","","8","LITERAL1","S","N","","0","0","","0","","0","","0","","0","","0","","0","","","","","","","","","","","","","","","","","","","Modelo","Ano","Potência","Quantidade","","","","","","","03/11/2008 00:00:00","VTCSUPER","","","Referência","0","0","0","0","0","0","0","0","0","0","","","",""
