"SeqCons","Var","Ord","Descricao","Padrao","DepAnt","Instrucao","InstrSql","Lista","SQLCmd","Externa","TpDado","Tudo","LimLow","CorLow","LimHig","CorHig"
"142","OPT1","4","Carteiras","1","1","","SELECT CRT.CARTEIRA #vksSql_ConcatHifen USR.NOMEREDUZIDO, CRT.SEQCARTEIRA
FROM IVS_DEPTO DPT
 JOIN IVS_CARTDEPTO CDP ON CDP.SEQDEPTO = DPT.SEQDEPTO
 JOIN IVS_CARTEIRA CRT ON CRT.SEQCARTEIRA = CDP.SEQCARTEIRA
 JOIN GE_USUARIO USR ON USR.SEQUSUARIO = CRT.SEQUSRRESP
 JOIN GE_EMPRESA EMP ON EMP.NROEMPRESA = CRT.NROEMPRESA
WHERE DPT.SEQDEPTO = 2
 AND ( EMP.NOMEREDUZIDO = :LS2 OR :TUDO2 = 1)
ORDER BY 1

","","","0","","0","0,00","0","0,00","0"
"142","SN1","9","Somente processos em aberto","0","0","","","","","0","","0","","","",""
"142","SN2","10","Listar pedidos faturados","0","0","","","","","0","","0","0,00","0","0,00","0"
"142","SN3","11","Resumo por modelo e data","1","0","","","","","0","","0","0,00","0","0,00","0"
"144","DT1","6","Data do pedido entre:","Início do ano anterior  (id)","0","","","","","0","","0","0,00","0","0,00","0"
"144","DT2","7","e:","Final deste ano (fd)","0","","","","","0","","0","0,00","0","0,00","0"
"144","LS1","4","Família de Produtos","","0","","SELECT DISTINCT VND.TIPO_DO_EQUIPAMENTO
FROM IV_Q$VENDA VND
ORDER BY 1

","","","0","","1","0,00","0","0,00","0"
"144","LS2","2","Empresa","","0","","SELECT EMP.NOMEREDUZIDO
FROM GE_EMPRESA EMP
WHERE EXISTS ( SELECT 1 FROM IVS_CARTEIRA CRT WHERE CRT.NROEMPRESA = EMP.NROEMPRESA)
ORDER BY 1

","","","0","","1","0,00","0","0,00","0"
"144","LS3","5","Modelo do Equipamento","","1","","SELECT DISTINCT VND.MODELO_DO_EQUIPAMENT
FROM IV_Q$VENDA VND
WHERE VND.TIPO_DO_EQUIPAMENTO = :LS1
ORDER BY 1

","","","0","","1","0,00","0","0,00","0"
"144","NR1","8","Dias alertar andamento parados","15","0","Andamentos há mais desta qtde de dias, irá alertar com um indicador.","","","","0","","0","0,00","0","0,00","0"
"144","OPT1","3","Carteiras","1","1","","SELECT CRT.CARTEIRA #vksSql_ConcatHifen USR.NOMEREDUZIDO, CRT.SEQCARTEIRA
FROM IVS_DEPTO DPT
 JOIN IVS_CARTDEPTO CDP ON CDP.SEQDEPTO = DPT.SEQDEPTO
 JOIN IVS_CARTEIRA CRT ON CRT.SEQCARTEIRA = CDP.SEQCARTEIRA
 JOIN GE_USUARIO USR ON USR.SEQUSUARIO = CRT.SEQUSRRESP
 JOIN GE_EMPRESA EMP ON EMP.NROEMPRESA = CRT.NROEMPRESA
WHERE DPT.SEQDEPTO IN ( 2, 10 ,25 )
AND ( EMP.NOMEREDUZIDO = :LS2 OR :TUDO2 = 1)
ORDER BY 1

","","","0","","0","0,00","0","0,00","0"
"144","SN1","10","Listar pedidos faturados","1","0","","","","","0","","0","0,00","0","0,00","0"
"144","SN3","12","Resumo por modelo e data","1","0","","","","","0","","0","0,00","0","0,00","0"
"144","SN4","9","Somente processos em aberto:","0","0","","","","","0","","0","0,00","0","0,00","0"
"145","LS1","1","Departamento","","0","","SELECT DPTO.DEPTO

FROM IVS_DEPTO DPTO

WHERE EXISTS ( SELECT PES.SEQDEPTO FROM IVS_PES PES WHERE PES.SEQDEPTO = DPTO.SEQDEPTO )
ORDER BY 1","","","0","","0","","","",""
"145","LS2","2","Empresa","","0","","SELECT EMP.NOMEREDUZIDO
FROM GE_EMPRESA EMP
WHERE EXISTS ( SELECT 1 FROM IVS_CARTEIRA CRT WHERE CRT.NROEMPRESA = EMP.NROEMPRESA)
ORDER BY 1","","","0","","1","","","",""
"145","OPT1","3","Carteiras","1","1","","SELECT CRT.CARTEIRA #vksSql_ConcatHifen USR.NOMEREDUZIDO, CRT.SEQCARTEIRA
FROM IVS_DEPTO DPT
JOIN IVS_CARTDEPTO CDP ON CDP.SEQDEPTO = DPT.SEQDEPTO
JOIN IVS_CARTEIRA CRT ON CRT.SEQCARTEIRA = CDP.SEQCARTEIRA
JOIN GE_USUARIO USR ON USR.SEQUSUARIO = CRT.SEQUSRRESP
JOIN GE_EMPRESA EMP ON EMP.NROEMPRESA = CRT.NROEMPRESA
WHERE (DPT.DEPTO = :LS1 OR DPT.SEQDEPTO = 1)
AND ( EMP.NOMEREDUZIDO = :LS2 OR :TUDO2 = 1)
ORDER BY 1","","","0","","0","","","",""
"145","SN1","4","Listar Cada Cliente","1","0","","","","","0","","0","","","",""
"145","SN2","5","Listar Cliente com Potencial Z","0","0","","","","","0","","0","","","",""
"145","SN3","6","Apenas Oportunidades em Aberto","0","0","","","","","0","","0","","","",""
"146","LS1","1","Departamento","","0","","SELECT DPTO.DEPTO
FROM IVS_DEPTO DPTO
WHERE EXISTS ( SELECT PES.SEQDEPTO FROM IVS_PES PES WHERE PES.SEQDEPTO = DPTO.SEQDEPTO )
ORDER BY 1","","","0","","0","","","",""
"146","LS2","2","Empresa","","0","","SELECT EMP.NOMEREDUZIDO
FROM GE_EMPRESA EMP
WHERE EXISTS ( SELECT 1 FROM IVS_CARTEIRA CRT WHERE CRT.NROEMPRESA = EMP.NROEMPRESA)
ORDER BY 1","","","0","","1","","","",""
"146","OPT1","3","Carteiras","1","1","","SELECT CRT.CARTEIRA #vksSql_ConcatHifen USR.NOMEREDUZIDO, CRT.SEQCARTEIRA
FROM IVS_DEPTO DPT
JOIN IVS_CARTDEPTO CDP ON CDP.SEQDEPTO = DPT.SEQDEPTO
JOIN IVS_CARTEIRA CRT ON CRT.SEQCARTEIRA = CDP.SEQCARTEIRA
JOIN GE_USUARIO USR ON USR.SEQUSUARIO = CRT.SEQUSRRESP
JOIN GE_EMPRESA EMP ON EMP.NROEMPRESA = CRT.NROEMPRESA
WHERE (DPT.DEPTO = :LS1 OR DPT.SEQDEPTO = 1)
AND ( EMP.NOMEREDUZIDO = :LS2 OR :TUDO2 = 1)
ORDER BY 1","","","0","","0","","","",""
"146","SN1","4","Listar cada cliente","1","0","
","","","","0","","0","","","",""
"146","SN2","5","Listar Clientes com Potencial Z","0","0","","","","","0","","0","","","",""
"146","SN3","6","Apenas Oportunidades Em Aberto","0","0","","","","","0","","0","","","",""
"147","DT1","5","Processos incluídos entre:","Início do ano anterior (id)","0","","","","","0","","0","","","",""
"147","DT2","6","e:","Final deste ano (fd)","0","","","","","0","","0","","","",""
"147","LS1","2","Departamento","","0","","SELECT DPTO.DEPTO
FROM IVS_DEPTO DPTO
WHERE EXISTS ( SELECT PES.SEQDEPTO FROM IVS_PES PES WHERE PES.SEQDEPTO = DPTO.SEQDEPTO )
AND DPTO.SEQDEPTO IN (25)
ORDER BY 1","","","0","","0","","","",""
"147","LS2","3","Empresa","","0","","SELECT EMP.NOMEREDUZIDO
FROM GE_EMPRESA EMP
WHERE EXISTS ( SELECT 1 FROM IVS_CARTEIRA CRT WHERE CRT.NROEMPRESA = EMP.NROEMPRESA)
AND EMP.NROEMPRESA NOT IN('6' , '891')
ORDER BY 1","","","0","","1","","","",""
