"CodModelo","ModoSimples","TipoObj","ChaveObj","PosLeft","PosTop","IndCor","Dados","IndMudanca"
"46","0","ACAO","674","650","4218","11","","9"
"46","0","ACAO","675","1450","852","2","","9"
"46","0","ACAO","676","650","4956","12","","9"
"46","0","ACAO","677","1450","2852","13","","9"
"46","0","ACAO","678","650","140","0","","9"
"46","0","ACAO","679","1450","140","1","","9"
"46","0","ACAO","680","1450","3652","14","","9"
"46","0","ACAO","682","1450","3886","0","","9"
"46","0","ACAO","683","1450","4164","1","","9"
"46","0","ACAO","718","650","808","4","","9"
"46","0","ACAO","719","1450","1842","5","","9"
"46","0","ACAO","720","1450","2208","6","","9"
"46","0","ACAO","721","1450","2530","7","","9"
"46","0","ACAO","722","1450","4486","2","","9"
"46","0","ACAO","723","1450","4808","3","","9"
"46","0","ACAO","774","1450","5086","4","","9"
"46","0","ACAO","846","1020","2805","-1","","9"
"46","0","RES","2636","1150","4951","-1","","9"
"46","0","RES","2899","70","60","-1","","1"
"46","0","RES","3025","70","392","-1","","1"
"46","0","RES","3464","1150","5146","-1","","9"
"46","0","RES","3479","1150","5016","-1","","9"
"46","0","RES","3482","1150","5081","-1","","9"
"46","0","RES","3494","1150","4951","-1","","9"
"47","0","ACAO","63","2609","256","-1","","9"
"47","0","ACAO","381","2609","256","-1","","9"
"47","0","ACAO","620","2609","256","-1","","9"
"47","0","ACAO","629","4164","379","-1","","9"
"47","0","ACAO","631","3850","379","-1","","9"
"47","0","ACAO","654","4683","1752","-1","","9"
"47","0","ACAO","684","3480","328","1","","9"
"47","0","ACAO","685","3794","328","2","","9"
"47","0","ACAO","686","3576","1048","6","","9"
"47","0","ACAO","687","3923","1048","7","","9"
"47","0","ACAO","688","3603","1311","11","","9"
"47","0","ACAO","689","4313","1701","13","","9"
"47","0","ACAO","690","1827","844","3","","9"
"47","0","ACAO","691","2054","492","5","","9"
"47","0","ACAO","692","3224","1048","5","","9"
"47","0","ACAO","693","2863","696","10","","9"
"47","0","ACAO","694","3955","1311","12","","9"
"47","0","ACAO","695","1251","716","1","","9"
"47","0","ACAO","696","1763","652","2","","9"
"47","0","ACAO","697","4248","1048","8","","9"
"47","0","ACAO","698","2839","22","7","","9"
"47","0","ACAO","699","4313","1525","14","","9"
"47","0","ACAO","700","2872","1048","4","","9"
"47","0","ACAO","701","2519","24","6","","9"
"47","0","ACAO","702","2984","312","0","","9"
"47","0","ACAO","703","2411","801","4","","9"
"47","0","ACAO","704","1880","120","4","","9"
"47","0","ACAO","705","2239","205","5","","9"
"47","0","ACAO","706","1357","415","1","","9"
"47","0","ACAO","707","695","929","6","","9"
"47","0","ACAO","708","1352","120","3","","9"
"47","0","ACAO","709","2330","1276","14","","9"
"47","0","ACAO","710","650","120","0","","9"
"47","0","ACAO","711","689","684","0","","9"
"47","0","ACAO","712","3224","712","3","","9"
"47","0","ACAO","713","1688","344","8","","9"
"47","0","ACAO","846","650","140","9","","9"
"47","0","ACAO","940027","2609","256","-1","","9"
"47","0","RES","2529","350","10","-1","","9"
"47","0","RES","2530","1052","10","-1","","9"
"47","0","RES","2854","350","1045","-1","","9"
"47","0","RES","2946","70","402","-1","","9"
"47","0","RES","2947","70","459","-1","","9"
"47","0","RES","2948","70","516","-1","","9"
"47","0","RES","2949","70","573","-1","","9"
"47","0","RES","2950","70","630","-1","","9"
"47","0","RES","2951","70","117","-1","","9"
"47","0","RES","2953","70","174","-1","","9"
"47","0","RES","2954","70","231","-1","","9"
"47","0","RES","2955","70","288","-1","","9"
"47","0","RES","2956","70","345","-1","","9"
"47","0","RES","2983","70","60","-1","","1"
"47","0","RES","3007","1580","10","-1","","1"
"47","0","RES","3335","2684","177","-1","","9"
